instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BruteForce,S,8.417060598731041e-06,"{1: 1, 2: 0, 3: 0, 4: 0}"
1001,4,9,BruteForce,U,1.054094173014164e-05,{}
1002,4,9,BruteForce,S,5.749985575675964e-06,"{1: 1, 2: 1, 3: 1, 4: 0}"
1003,4,9,BruteForce,S,6.624963134527206e-06,"{1: 0, 2: 1, 3: 0, 4: 1}"
1004,4,9,BruteForce,U,6.375135853886604e-06,{}
1005,4,9,BruteForce,U,5.124835297465324e-06,{}
1006,4,9,BruteForce,U,8.124858140945435e-06,{}
1007,4,9,BruteForce,S,3.7918798625469208e-06,"{1: 0, 2: 0, 3: 1, 4: 0}"
1008,4,9,BruteForce,S,4.833098500967026e-06,"{1: 0, 2: 0, 3: 0, 4: 1}"
1009,4,9,BruteForce,S,3.2079406082630157e-06,"{1: 0, 2: 1, 3: 0, 4: 0}"
1010,8,18,BruteForce,S,5.3459079936146736e-05,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1}"
1011,8,18,BruteForce,S,2.6999972760677338e-05,"{1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0}"
1012,8,18,BruteForce,S,8.612498641014099e-05,"{1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 1, 8: 1}"
1013,8,18,BruteForce,U,8.174986578524113e-05,{}
1014,8,18,BruteForce,U,9.774998761713505e-05,{}
1015,8,18,BruteForce,U,8.345791138708591e-05,{}
1016,8,18,BruteForce,U,0.00012429198250174522,{}
1017,8,18,BruteForce,S,4.2833155021071434e-05,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0}"
1018,8,18,BruteForce,S,3.2498501241207123e-06,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}"
1019,8,18,BruteForce,U,7.804203778505325e-05,{}
1020,12,20,BruteForce,U,0.001391874859109521,{}
1021,12,20,BruteForce,S,0.0005668748635798693,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 1, 11: 1, 12: 0}"
1022,12,20,BruteForce,S,0.0007152920588850975,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 1}"
1023,12,20,BruteForce,S,2.300017513334751e-05,"{1: 1, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0}"
1024,12,20,BruteForce,S,0.0009951249230653048,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1, 11: 0, 12: 1}"
1025,12,20,BruteForce,S,0.0014840411022305489,"{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1}"
1026,12,20,BruteForce,U,0.0015568751841783524,{}
1027,12,20,BruteForce,U,0.0014205421321094036,{}
1028,12,20,BruteForce,U,0.0013910001143813133,{}
1029,12,20,BruteForce,U,0.0014975420199334621,{}
1030,16,30,BruteForce,S,0.015613584080711007,"{1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0, 12: 1, 13: 1, 14: 0, 15: 0, 16: 1}"
1031,16,30,BruteForce,U,0.018892459105700254,{}
1032,16,30,BruteForce,S,0.0019368748180568218,"{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0, 15: 0, 16: 0}"
1033,16,30,BruteForce,S,0.000628374982625246,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0}"
1034,16,30,BruteForce,U,0.021616166923195124,{}
1035,16,30,BruteForce,S,0.006965167121961713,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 0, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 0, 16: 0}"
1036,16,30,BruteForce,U,0.023631250020116568,{}
