instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,1.8291175365447998e-05,{}
2,4,10,BruteForce,S,1.1999858543276787e-05,"{1: 0, 2: 1, 3: 1, 4: 1}"
3,4,10,BruteForce,U,6.4999330788850784e-06,{}
4,4,10,BruteForce,S,2.458924427628517e-06,"{1: 1, 2: 0, 3: 0, 4: 0}"
5,4,10,BruteForce,S,4.582805559039116e-06,"{1: 0, 2: 0, 3: 1, 4: 1}"
6,4,10,BruteForce,S,5.500158295035362e-06,"{1: 1, 2: 1, 3: 0, 4: 1}"
7,4,10,BruteForce,S,1.708976924419403e-06,"{1: 0, 2: 0, 3: 0, 4: 0}"
8,4,10,BruteForce,U,5.00003807246685e-06,{}
9,4,10,BruteForce,U,4.999805241823196e-06,{}
10,4,10,BruteForce,U,4.875008016824722e-06,{}
11,8,16,BruteForce,U,9.770807810127735e-05,{}
12,8,16,BruteForce,U,8.383393287658691e-05,{}
13,8,16,BruteForce,S,2.745911478996277e-05,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1, 8: 0}"
14,8,16,BruteForce,S,7.337494753301144e-05,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1}"
15,8,16,BruteForce,U,0.00010733399540185928,{}
16,8,16,BruteForce,U,7.13749323040247e-05,{}
17,8,16,BruteForce,S,1.812516711652279e-05,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0}"
18,8,16,BruteForce,U,7.262500002980232e-05,{}
19,8,16,BruteForce,S,3.0166003853082657e-05,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0}"
20,8,16,BruteForce,S,6.566708907485008e-05,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1}"
21,12,24,BruteForce,S,0.0003063750918954611,"{1: 1, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0}"
22,12,24,BruteForce,S,0.0002883330453187227,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1, 11: 0, 12: 0}"
23,12,24,BruteForce,U,0.0012616671156138182,{}
24,12,24,BruteForce,U,0.001115625025704503,{}
25,12,24,BruteForce,S,7.624994032084942e-05,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0}"
26,12,24,BruteForce,U,0.0013353750109672546,{}
27,12,24,BruteForce,U,0.0011027911677956581,{}
28,12,24,BruteForce,S,0.0014202920719981194,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1}"
29,12,24,BruteForce,U,0.0016776251140981913,{}
30,12,24,BruteForce,S,0.000659791985526681,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0}"
31,16,32,BruteForce,S,0.0023044580593705177,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 1, 10: 0, 11: 0, 12: 1, 13: 1, 14: 0, 15: 0, 16: 0}"
32,16,32,BruteForce,U,0.02088966709561646,{}
33,16,32,BruteForce,S,0.02087779203429818,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 1, 15: 1, 16: 1}"
34,16,32,BruteForce,S,0.018487832974642515,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0, 12: 1, 13: 1, 14: 0, 15: 1, 16: 1}"
35,16,32,BruteForce,U,0.017146583180874586,{}
36,16,32,BruteForce,S,0.019848625175654888,"{1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1, 11: 0, 12: 1, 13: 0, 14: 1, 15: 1, 16: 1}"
37,16,32,BruteForce,U,0.019197999965399504,{}
38,16,32,BruteForce,U,0.023931333096697927,{}
39,16,32,BruteForce,S,0.006319290958344936,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 1, 12: 1, 13: 0, 14: 0, 15: 1, 16: 0}"
40,16,32,BruteForce,U,0.021582084009423852,{}
41,18,36,BruteForce,U,0.0826896249782294,{}
42,18,36,BruteForce,U,0.09679666697047651,{}
43,18,36,BruteForce,U,0.08422075002454221,{}
44,18,36,BruteForce,U,0.07589754182845354,{}
45,18,36,BruteForce,U,0.07727229199372232,{}
46,18,36,BruteForce,U,0.0879571249242872,{}
47,18,36,BruteForce,U,0.08284416585229337,{}
48,18,36,BruteForce,S,0.009003832936286926,"{1: 1, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0, 15: 1, 16: 0, 17: 0, 18: 0}"
49,18,36,BruteForce,U,0.08794454182498157,{}
